username;name;email;password;roleId
mCsaba;Medgyes Csaba;medgyescsaba@gmail.com;MedgyesCsaba2025;1
lBence;Ledacs-Kiss Bence;ledacs-kissbence@gmail.com;LedacsKissBence2025;1
fDorain;Fehér Zsolt Dorián;feherzsoltdorian@gmail.com;FeherZsoltDorian2025;1
supervisor;Supervisor;supervisor@supervisor.com;SuperVisor2025;2
supervisor2;Supervisor2;supervisor@supervisor.com;SuperVisor2025;2
supervisor3;Supervisor3;supervisor@supervisor.com;SuperVisor2025;2
supervisor4;Supervisor4;supervisor@supervisor.com;SuperVisor2025;2
supervisor5;Supervisor5;supervisor@supervisor.com;SuperVisor2025;2
supervisor6;Supervisor6;supervisor@supervisor.com;SuperVisor2025;2
supervisor7;Supervisor7;supervisor@supervisor.com;SuperVisor2025;2
supervisor8;Supervisor8;supervisor@supervisor.com;SuperVisor2025;2
supervisor9;Supervisor9;supervisor@supervisor.com;SuperVisor2025;2
supervisor10;Supervisor10;supervisor@supervisor.com;SuperVisor2025;2
bEva;Balogh Éva;balogheva@gmail.com;BaloghEva2025;3
nKatalin;Nagy Katalin;nagykatalin@gmail.com;NagyKatalin2025;3
sMihaly;Szabó Mihály;szabomihaly@gmail.com;SzaboMihaly2025;3
bEndre;Balogh Endre;baloghendre@gmail.com;BaloghEndre2025;3
kJozsef;Kozma József;kozma.jozsef@gmail.com;KozmaJozsef2025;3
tKatalin;Tóth Katalin;tothkatalin@gmail.com;TothKatalin2025;3
sDezso;Szabó Dezső;szabodezso@gmail.com;SzaboDezso2025;3
mRobert;Magyar Róbert;magyarrobert@gmail.com;MagyarRobert2025;3
bDavid;Balogh Dávid;baloghdavid@gmail.com;BaloghDavid2025;3
nErika;Nagy Erika;nagy.erika@gmail.com;NagyErika2025;3
jTamas;Juhász Tamás;juhasztamas@gmail.com;JuhaszTamas2025;3
fAttila;Farkas Attila;farkasattila@gmail.com;FarkasAttila2025;3
bHajnalka;Bognár Hajnalka;bognarhajnalka@gmail.com;BognarHajnalka2025;3
tAttila;Takács Attila;takacsattila@gmail.com;TakacsAttila2025;3
fZoltan;Fülöp Zoltán;fulopzoltan@gmail.com;FulopZoltan2025;3
hAnna;Horváth Anna;horvathanna@gmail.com;HorvathAnna2025;3
gVeronika;Gulyás Veronika;gulyasveronika@gmail.com;GulyasVeronika2025;3
mNora;Molnár Nóra;molnarnora@gmail.com;MolnarNora2025;3
pAgnes;Papp Ágnes;pappagnes@gmail.com;PappAgnes2025;3
sIvan;Szűcs Iván;szucsivan@gmail.com;SzucsIvan2025;3
tBalint;Tóth Bálint;tothbalint@gmail.com;TothBalint2025;3
hJudit;Horváth Judit;horvathjudit@gmail.com;HorvathJudit2025;3
fZoltan;Farkas Zoltán;farkaszoltan@gmail.com;FarkasZoltan2025;3
mLaszlo;Máté László;matelaszlo@gmail.com;MateLaszlo2025;3
